Code,ISIN,Name,GroupCode,CapSize,IndLarge,IndMedium,IndSmall,MarketCap
F70100009,KR5701000097,한투삼성그룹성장테마1호(A),BC,,0,0,0,179
F70100010,KR5701000105,한투삼성그룹성장테마1호(A-e),BC,,0,0,0,111
F70100011,KR5701000113,한투삼성그룹성장테마2호(A),BC,,0,0,0,85
F70100012,KR5701000121,한투삼성그룹성장테마2호(A-e),BC,,0,0,0,203
F70100013,KR5701000139,한투삼성그룹&글로벌성장1(A),BC,,0,0,0,3
F70100014,KR5701000147,한투삼성그룹&글로벌성장1(A1),BC,,0,0,0,66
F70100015,KR5701000154,한투삼성그룹&글로벌성장1(A1-e),BC,,0,0,0,97
F70100016,KR5701000162,한투삼성그룹&글로벌성장2(A),BC,,0,0,0,3
F70100017,KR5701000170,한투삼성그룹&글로벌성장2(A1),BC,,0,0,0,92
F70100018,KR5701000188,한투삼성그룹&글로벌성장2(A1-e),BC,,0,0,0,88
F70100019,KR5701000196,한투삼성그룹&글로벌성장3(A),BC,,0,0,0,3
F70100020,KR5701000204,한투삼성그룹&글로벌성장3(A1),BC,,0,0,0,46
F70100021,KR5701000212,한투삼성그룹&글로벌성장3(A1-e),BC,,0,0,0,79
F70100022,KR5701000220,한투미국경제주도1(A),BC,,0,0,0,208
F70100023,KR5701000238,한투미국경제주도1(A-e),BC,,0,0,0,127
F70100024,KR5701000246,한투미국경제주도2(A),BC,,0,0,0,84
F70100025,KR5701000253,한투미국경제주도2(A-e),BC,,0,0,0,252
F70101B95,KR570101B954,밀라노부동산,BC,,0,0,0,267
F70101B96,KR570101B962,벨기에코어오피스2호,BC,,0,0,0,419
F70101B9A,KR570101B9A2,한국투자뉴욕오피스1호,BC,,0,0,0,631
F70101BB1,KR570101BB17,한국투자서울오피스,BC,,0,0,0,492
F70102B96,KR570102B960,룩셈부르크코어오피스(파생형)(A),BC,,0,0,0,867
F70103B96,KR570103B968,룩셈부르크코어오피스(파생형)(C-I),BC,,0,0,0,159
F70900001,KR5709000016,대신하이일드공모주알파증권2호 A,BC,,0,0,0,67
F70900002,KR5709000024,대신하이일드공모주알파증권2호 A-e,BC,,0,0,0,78
F71201B97,KR571201B977,키움히어로즈미국물류부동산1호,BC,,0,0,0,912
F71201B98,KR571201B985,키움히어로즈유럽오피스부동산1호 A,BC,,0,0,0,89
F71202B98,KR571202B983,키움히어로즈유럽오피스부동산1호 C-I,BC,,0,0,0,5
F71203B98,KR571203B981,키움히어로즈유럽오피스부동산2호 A,BC,,0,0,0,152
F71204B98,KR571204B989,키움히어로즈유럽오피스부동산2호 C-I,BC,,0,0,0,13
F71205B98,KR571205B986,키움히어로즈유럽오피스부동산3호 A,BC,,0,0,0,49
F71206B98,KR571206B984,키움히어로즈유럽오피스부동산3호 C-I,BC,,0,0,0,25
F71207B98,KR571207B982,키움히어로즈유럽오피스부동산4호 A,BC,,0,0,0,14
F71208B98,KR571208B980,키움히어로즈유럽오피스부동산4호 C-I,BC,,0,0,0,144
F71901BBC,KR571901BBC8,KB국민참여뉴딜2A,BC,,0,0,0,43
F71902BBC,KR571902BBC6,KB국민참여뉴딜2C,BC,,0,0,0,5
F72501BBC,KR572501BBC5,신한국민참여정책형뉴딜혼합자산2호 C1,BC,,0,0,0,10
F72502BBC,KR572502BBC3,신한국민참여정책형뉴딜혼합자산2호 A1,BC,,0,0,0,12
F72801BBC,KR572801BBC9,한화국민참여정책형뉴딜2A,BC,,0,0,0,49
F72802BBC,KR572802BBC7,한화국민참여정책형뉴딜2C,BC,,0,0,0,5
F73300003,KR5733000032,다올공모주하이일드만기형증권3 A,BC,,0,0,0,250
F73300004,KR5733000040,다올공모주하이일드만기형증권3 Ae,BC,,0,0,0,203
F73400003,KR5734000031,코레이트하이일드공모주투게더증권A,BC,,0,0,0,40
F73400004,KR5734000049,코레이트하이일드공모주투게더증권A-e,BC,,0,0,0,91
F73400005,KR5734000056,코레이트하이일드공모주투게더증권A2,BC,,0,0,0,182
F73400006,KR5734000064,코레이트하이일드공모주만기형2호 A,BC,,0,0,0,266
F73400007,KR5734000072,코레이트하이일드공모주만기형2호 A-e,BC,,0,0,0,59
F73501BBC,KR573501BBC4,GB뉴딜기업2호A,BC,,0,0,0,42
F73502BBC,KR573502BBC2,GB뉴딜기업2호Ae,BC,,0,0,0,73
F74100003,KR5741000032,흥국플러스공모주하이일드증권2호 A,BC,,0,0,0,111
F74100004,KR5741000040,흥국플러스공모주하이일드증권2호 A-e,BC,,0,0,0,15
F74100005,KR5741000057,흥국플러스공모주하이일드증권2호 C-f,BC,,0,0,0,3
F74201773,KR5742017738,하나대체나사부동산1호,BC,,0,0,0,475
F7420177B,KR57420177B6,하나대체미국LA부동산1호 A,BC,,0,0,0,478
F74201BAA,KR574201BAA6,하나대체미국부동산1호 A,BC,,0,0,0,212
F7420277B,KR57420277B4,하나대체미국LA부동산1호 F,BC,,0,0,0,436
F74202BAA,KR574202BAA4,하나대체미국부동산1호 C-I,BC,,0,0,0,181
F74401777,KR5744017777,맵스미국11호,BC,,0,0,0,513
F74401BAA,KR574401BAA2,맵스미국16호 종류A,BC,,0,0,0,573
F74601669,KR5746016694,KCGI베트남증권투자신탁,BC,,0,0,0,514
F74701776,KR5747017766,이지스코어부동산126호 A,BC,,0,0,0,5502
F74701789,KR5747017899,이지스204호 Class A,BC,,0,0,0,250
F74701B8A,KR574701B8A0,이지스229호 Class A,BC,,0,0,0,122
F74701B97,KR574701B973,이지스글로벌281호 Class A,BC,,0,0,0,2075
F74701B9A,KR574701B9A8,이지스299호A,BC,,0,0,0,219
F74702776,KR5747027765,이지스코어부동산126호 C-i,BC,,0,0,0,4
F74702786,KR5747027864,이지스리테일194호,BC,,0,0,0,210
F74702B8A,KR574702B8A9,이지스229호 Class C-I,BC,,0,0,0,120
F75601BA2,KR575601BA20,유경공모부동산3호ClassA,BC,,0,0,0,183
F75602BA2,KR575602BA29,유경공모부동산3호ClassC-I,BC,,0,0,0,686
F75701BA7,KR575701BA78,현대유퍼스트부동산30호[파생형] A,BC,,0,0,0,202
F75702BA7,KR575702BA77,현대유퍼스트부동산30호[파생형] C-i,BC,,0,0,0,226
F75801BBC,KR575801BBC6,IBK국민참여정책형뉴딜혼합자산2호A,BC,,0,0,0,22
F75802BBC,KR575802BBC4,IBK국민참여정책형뉴딜혼합자산2호C,BC,,0,0,0,17
F76201BC5,KR576201BC53,이탈리아물류1호 종류A,BC,,0,0,0,582
F77200001,KR5772000018,한국밸류K-파워1호 (A),BC,,0,0,0,242
F77200002,KR5772000026,한국밸류K-파워1호 (A-e),BC,,0,0,0,124
F77200003,KR5772000034,한국밸류K-파워2호 (A),BC,,0,0,0,215
F77200004,KR5772000042,한국밸류K-파워2호 (A-e),BC,,0,0,0,151
F77200005,KR5772000059,한국밸류AI혁신소부장1호(A),BC,,0,0,0,121
F77200006,KR5772000067,한국밸류AI혁신소부장1호(A-e),BC,,0,0,0,132
F77200007,KR5772000075,한국밸류AI혁신소부장1호(C-F),BC,,0,0,0,2
F77200008,KR5772000083,한국밸류AI혁신소부장2호(A),BC,,0,0,0,122
F77200009,KR5772000091,한국밸류AI혁신소부장2호(A-e),BC,,0,0,0,123
F77200010,KR5772000109,한국밸류AI혁신소부장2호(C-F),BC,,0,0,0,2
F77200011,KR5772000117,한국밸류기업가치포커스1호(A),BC,,0,0,0,142
F77200012,KR5772000125,한국밸류기업가치포커스1호(A-e),BC,,0,0,0,186
F77200013,KR5772000133,한국밸류기업가치포커스1호(C-F),BC,,0,0,0,1
F77200014,KR5772000141,한국밸류기업가치포커스2호(A),BC,,0,0,0,172
F77200015,KR5772000158,한국밸류기업가치포커스2호(A-e),BC,,0,0,0,152
F77200016,KR5772000166,한국밸류기업가치포커스2호(C-F),BC,,0,0,0,1
F77300001,KR5773000017,밸류시스템SAFE증권1호(A),BC,,0,0,0,15
F77300002,KR5773000025,밸류시스템SAFE증권1호(Ae),BC,,0,0,0,29
F77300003,KR5773000033,밸류시스템SAFE증권2호(A),BC,,0,0,0,30
F77300004,KR5773000041,밸류시스템SAFE증권2호(Ae),BC,,0,0,0,14
000020,KR7000020008,동화약품,ST,3.0,27,9,0,1826
000040,KR7000040006,KR모터스,ST,3.0,27,15,0,257
000050,KR7000050005,경방,ST,3.0,16,0,0,2239
000070,KR7000070003,삼양홀딩스,ST,2.0,21,0,0,7890
000075,KR7000071001,삼양홀딩스우,ST,0.0,21,0,0,158
000080,KR7000080002,하이트진로,ST,2.0,27,5,0,13942
